175,12488,1718,207745,242,149614,8501,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Filing - Numbers,0,1.002326,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,mfpnXrEBb5zC3UuL87YeXQ==,NULL,NULL,NULL,NULL,NULL,Filing - Numbers,PERCENTILE
176,12488,1718,207745,242,149614,8501,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Filing - Numbers,0,1,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,S4ZYt6xfQJODovbS3v5mig==,NULL,NULL,NULL,NULL,NULL,Filing - Numbers,RAW
177,12488,1718,207745,242,149614,8501,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Filing - Numbers,0,-2.58581265428089,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,DQtYAwj1BZEXvvhCn+YYXw==,NULL,NULL,NULL,NULL,NULL,Filing - Numbers,SCORE
178,12957,1787,207746,151,149857,12723,128,1,assessment,0,,NULL,NULL,NULL,NULL,NULL,Proficiency,0,58.46,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,5BcOUJYYSjIHYlNY11xvbw==,NULL,NULL,NULL,NULL,NULL,C# 3.0 Fundamentals,PERCENTILE
179,12957,1787,207746,151,149857,12723,211,1,assessment,0,,NULL,NULL,NULL,NULL,NULL,Proficiency,0,3.4724592,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,vhWAogR/wiCvXNuGB3rPbA==,NULL,NULL,NULL,NULL,NULL,C# 3.0 Fundamentals,SCORE
180,12955,1787,207746,151,149857,12723,128,1,assessment,0,Global Population,NULL,NULL,2.000000000,NULL,NULL,C# 3.0 Fundamentals,1,58.456901,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,1oul+cMUMPiwC9v3X0zWSg==,NULL,NULL,NULL,NULL,NULL,C# 3.0 Fundamentals,PERCENTILE
181,12955,1787,207746,151,149857,12723,129,1,assessment,0,Global Population,NULL,NULL,2.000000000,NULL,NULL,C# 3.0 Fundamentals,1,0.787432,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,rcewkRjDIoGztp7j3N4zTw==,NULL,NULL,NULL,NULL,NULL,C# 3.0 Fundamentals,RAW
182,12955,1787,207746,151,149857,12723,211,1,assessment,0,Global Population,NULL,NULL,2.000000000,NULL,NULL,C# 3.0 Fundamentals,1,3.4724592,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,MBBJ43mB0P7zqQjWT/WBeQ==,NULL,NULL,NULL,NULL,NULL,C# 3.0 Fundamentals,SCORE
183,12956,1787,207746,151,149857,12723,129,1,assessment,0,Company Population,NULL,NULL,2.000000000,NULL,NULL,C# 3.0 Fundamentals,2,0.787432,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,BQbt/IEPZbNs294nl4F8XQ==,NULL,NULL,NULL,NULL,NULL,C# 3.0 Fundamentals,RAW
184,12956,1787,207746,151,149857,12723,211,1,assessment,0,Company Population,NULL,NULL,2.000000000,NULL,NULL,C# 3.0 Fundamentals,2,3.4724592,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,SHnGqTbTnPoBqmjHXrPwIA==,NULL,NULL,NULL,NULL,NULL,C# 3.0 Fundamentals,SCORE
